question,option1,option2,option3,option4,answer
What is the capital of France?,Paris,London,Berlin,Madrid,Paris
Which language is primarily used for web development?,Python,JavaScript,C++,Java,JavaScript
What is 2 + 2?,3,4,5,6,4
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,Mars
Who wrote 'Romeo and Juliet'?,William Wordsworth,William Shakespeare,Jane Austen,Mark Twain,William Shakespeare
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic Ocean,Pacific Ocean
Which element has the chemical symbol 'O'?,Gold,Oxygen,Iron,Hydrogen,Oxygen
What is the boiling point of water in Celsius?,90,80,100,120,100
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,Leonardo da Vinci
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Carbon Dioxide
What is the square root of 64?,6,7,8,9,8
Which country is famous for the Eiffel Tower?,Italy,France,Germany,Spain,France
Who discovered penicillin?,Marie Curie,Alexander Fleming,Isaac Newton,Albert Einstein,Alexander Fleming
Which is the smallest prime number?,0,1,2,3,2
What is the speed of light approximately?,3x10^5 km/s,3x10^6 km/s,3x10^8 m/s,3x10^7 m/s,3x10^8 m/s
Which organ in the human body pumps blood?,Lungs,Heart,Liver,Kidney,Heart
What is the chemical formula of water?,H2O,CO2,O2,NaCl,H2O
Who is known as the 'Father of Computers'?,Charles Babbage,Alan Turing,Tim Berners-Lee,Steve Jobs,Charles Babbage
Which continent is known as the Dark Continent?,Asia,Africa,Europe,South America,Africa
Which planet is the largest in the solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
Which is the fastest land animal?,Cheetah,Lion,Tiger,Leopard,Cheetah